"No","Sentiment","Instagram Comment Text","",""
"1","Negatif"," INDONESIA ITU SEDANG PERANG PAK, PERANG SAMA PEMERINTAH MU SENDIRI !!!","",""
"2","Negatif","perang sama fans anis","",""
"3","Negatif","betul, d harta nya d keruk oleh org sndr","",""
"4","Positif","ga mau move on dia dr pemilu","",""
"5","Negatif","perang sama orang yg gagal move on, padahal Presiden nangkepin koruptor gede","",""
"6","Negatif","NGERIIIBANGEEET WOKKK btw lu udh kena serang apa?? ","",""
"7","Negatif","Udah di jarah apanya??","",""
"8","Negatif","Saudari lu diperkaos/diperbudak tentara musuh gk??","",""
"9","Negatif","Apa jadi budak tawanan perang???","",""
"10","Negatif","wkwkw pasti pendukung Anis,move on bang","",""
"11","Negatif","awas nanti ternaknya Mukidi marah ","",""
"12","Negatif","lagian sp yg ajak lu perang","",""
"13","Negatif","maksudnya ngk ngerti politik luar negeri ngk ngerti arti perang baru bacot doang lucu ni orang","",""
"14","Positif","KKb Sono aja GK beres ","",""
"15","Positif","Yang penting Gak usah ikut2an pak, kasihan anak cucu, mending yang damai2 aja.. Beda cerita kalo diserang ya wajib mempertahankan diri.. Ok?? Peace Love and Stay Calm","",""
"16","Positif","lah itu captionnya kan emang gitu min, kita menginginkan perdamaian, tapi kita akan bertempur jika kedaulatan bangsa kita yang terancam","",""
"17","Positif","ya tapi lebih baik sedia payung sebelum hujan kalou kata pepatah mah , kita gak tau kedepannya gmna","",""
"18","Negatif","takut ..... aku juga takut juskidd","",""
"19","Positif","ini ngomongno yang dulu2 aja kok. Mana bisa maju ?","",""
"20","Negatif","mikirnya anak cucu kedepannya gimana, kalau kita yang dewasa siap mati, tapi anak anak yang kita tinggalin?? iya kalau mereka mati kalau mereka hidup di jajah gimana","",""
"21","Negatif","mending perang melawan kemiskinan ya pak….itu pajak semakin lama semakin membebani,tp hasilnya ga jelas","",""
"22","Negatif","gak usah bayar pajak uda beres bos","",""
"23","Negatif","musuh kita pemerintahan itu sendiri","",""
"24","Positif","ya kan itu maksud nya ga baca?","",""
"25","Negatif","baca caption nya min","",""
"26","Negatif","yah kan dia ga punya cucu jadi ga mikirin","",""
"27","Positif","Lahhh org udh dijajah juga sama pemerintah sendiri","",""
"28","Positif","hahahaha","",""
"29","Negatif","sama siapa itu bg lebih tepatnya?","",""
"30","Negatif","kata-kata ilusi seorang pengangguran yg","",""
"31","Negatif","ucap benih seorang koruptor ","",""
"32","Negatif","ucapan birokrat..","",""
"33","Negatif","pasti ga kebagian bansos ya? Makanya kerja om, jangan jadi pemalas yg cuma ngarepin pemerintah","",""
"34","Negatif","makanya kerja, belajar, bersosialisasi ke orang orang. Kalau cuma ngocok sambil ngewibu tiap hari mana bisa dapat duit","",""
"35","Negatif","u juga dah mending kerja jangan ngebuzzer mulu","",""
"36","Negatif","info lowongan jadi buzzer dong om. Kyaknya enak dijamin pemerintah. ","",""
"37","Negatif","kerja kok, punya skill punya kualitas punya etos kerja, kalau cuma ngarepin bansos mah mending gantung diri aja dek","",""
"38","Positif","kerja buzzer sekali komen 200 perak emg komen disini ada yang ngarepin bansos..?? Wkwkwkwk","",""
"39","Negatif","REAKSI SELURUH RAKYAT YANG BACA BERITA","",""
"40","Positif","LEBIH BAIK DIJAJAH SAMA BELANDA DARIPADA DIJAJAH SAMA PEJABAT SENDIRI","",""
"42","Negatif","pengen komen tapi udah di wakilin","",""
"42","Positif","tapi klo masi di jajah kita gada di dunia ka","",""
"43","Positif","ya belum tentu juga kak, tergantung skenario Allah","",""
"44","Negatif","baru nikhh orang","",""
"45","Negatif","Pangkalan militer Amerika dan Israel ada pilipina, mau lawan perangnya gimana konoha ","",""
"46","Negatif","Bilang Kita gg akan Ada Di Dunia Klo Di Jajah Bangsa Laen??buktinya Kamu Ada Saat Ini Karena Kakek Buyutmu Tdk Mati Pada Saat Di Jajah Belanda Sama Jepang ","",""
"47","Negatif","konon kerja rodi itu tdk ada, Belanda bayar upah, tpi dikorupsi orang2 kita, makannya mending dijajah ","",""
"48","Negatif","Dijajah belanda ❌ Dijajah Pemerintah sendiri dari dulu ✅","",""
"49","Negatif","kata kata ilusi pengangguran yg malas","",""
"50","Positif","mikir kalo itu juga punya otak","",""
"51","Negatif","prittt","",""
"52","Negatif","NGERIIIBANGEEET WOKKK btw lu udh kena serang apa?? Udah di jarah apanya?? Saudari lu diperkaos/diperbudak tentara musuh gk?? Apa jadi budak tawanan perang??? ","",""
"53","Negatif","samnya sebenarnya SDM juga sma rendahnya kecuali Tionghoa disini","",""
"54","Negatif","kocakk, lowongan pekerjaan banyak lu nya aja yg gak cari, btw dijajah pemerintah dalam hal apa yaa? diserang kah rumah nya atau dijarah pemerintah rumah nya","",""
"55","Negatif","lu yg mikirr, loker banyak lu nya aja gada skill","",""
"56","Positif","wkwkwkwk paling tersakiti mereka bang","",""
"57","Negatif","okee deh","",""
"58","Negatif","woyykasih paham mereka KKB gimna ","",""
"59","Positif","Lah Rakyat Indonesia dijajah pemerintahnya sendiri ","",""
"60","Positif","padahal ini yang sudah jelas ya om","",""
"61","Negatif","yuk ke rumah pak Prabowo yuk","",""
"62","Negatif","berisik lo, rasain klo diserang rudal lo","",""
"63","Positif","to the point aja, gak bisa move on, itu kok repot","",""
"64","Positif","baru aja mau komen gini","",""
"65","Negatif","bentar bang saya baru bangun tidur,apanya bang yg di jajah","",""
"66","Negatif","Lawan KKB aja gak becus wooo","",""
"67","Positif","boro2 KKB ma ormas aja cemen","",""
"68","Negatif","bukan gak becus bro, tapi setau gw karena negara kita sangat menjunjung tinggi HAM jdi y gitu deh wkwk","",""
"69","Positif","alo gk karena alasan HAM pasti ampe koruptor udh dihukum mati, jdi dripda komen dkit' nyalahin pemerintah mending kuotanya dipake searching","",""
"70","Negatif","Nyuak","",""
"71","Positif","bukn gal becus ada ham sdm rendah lu.. kalo gak ada ham 1hari juga abis tuh kkb","",""
"72","Negatif","HAM Bro HAM,pasdulu ngelawan GAM gede gedean aja Indonesia kena banyak sanksi dari internasional","",""
"73","Positif","Bilang aja emng gk becus dalam segala hal","",""
"74","Negatif","iya' bro, emng dasarnya manusia selalu melihat kesalahan orang lain wkwk","",""
"75","Negatif","lawan KKB ,, sebelum presidennya prabowo aja susah bener ngurus KKB, emang ada yang berhasil presiden"" sebelumnya,??","",""
"76","Positif","belajar HAM dlu bru ketik gni","",""
"77","Positif","Perang kok bawa2 ham","",""
"78","Negatif","Meooonnngggg...","",""
"79","Negatif","wooowww.... suara macan asia versi 2025","",""
"80","Negatif","Di jajah bangsa sendiri aja masih belum bisa ngatasin","",""
"81","Positif","Omon2 doang..lawan bahlil ato aguan aja ngak berani ","",""
"82","Positif","tapi dia berhasil menangkap banyak koruptor dan menggagalkan aksi jual beli pulau","",""
"83","Positif","btul ini","",""
"84","Negatif","mending sahkan RUU perampasan aset itu baru berhasil","",""
"85","Negatif","Prabowo bisa saja mengesahkan ruu perampasan aset, tapi itu kudu ada persetujuan dari DPR juga dan anda tau kan sarang koruptor itu dimana","",""
"86","Negatif","emang bacot aja nih orang","",""
"87","Negatif","hobby beretorika, tp ga ada keseriusan dlm memimpin","",""
"88","Negatif","yang ditanggkap ya oposisi dan ga sejalan sama dia coba pagar laut kabarnya gimana","",""
"89","Negatif","DPR itu mayoritas pendukung Prabowo hanya pdip yang opsisi mau nyalahin dpr tapi isinya semua pendukung Prabowo tinggal Prabowo minta aja langsung sah","",""
"90","Negatif","kalo belajar dari tiktok , jangan asal comment mas","",""
"91","Positif","ternak bacot","",""
"92","Negatif","tau yang namanya lembaga ga? pdhl presiden & dpr udh jelas beda lembaga","",""
"93","Negatif","tau namanya partai ga DPR itu anggota dari partai partai,presiden tinggal mengajukan saja,kaya ruu TNI aja bisa cepat ","",""
"94","Positif","“tinggal” dikira alur pemerintahan kek raja”an di dunia film kali pahami tentang lembaga legislatif, eksekutif, yudikatif, ini pelajaran dari smp juga udh di jelasin","",""
"95","Positif","Rakyat gak sanggup berperang pak. Wapres & anggota DPR aja deh mewakili kami","",""
"96","Positif","karena kami ada d belakang nya","",""
"97","Positif","yoi karena mereka kan WAKIL RAKYAT top nih abang ","",""
"98","Positif","Recommended","",""
"99","Positif","top markotop","",""
"100","Positif","kalo ini gw baru setuju nieh","",""
"101","Positif","hahhahahaa... Sesuai panggilan nya ya kak Dewan Perwakilan Rakyat","",""
"102","Negatif","setuju ","",""
"103","Positif","plus kepala daerah yg gak kerja.","",""
"104","Positif","betul kan mereka katanya wakil rakyat jadi cukuplah wakilnya saja yg maju","",""
"105","Negatif","untuk negara israel,YAKIN KALIAN MAU BERMAIN MAIN SAMA INDONESIA","",""
"106","Negatif","Rakyatmu yg perang Batin","",""
"107","Negatif","Ribut perang ja, brntas korupsi ja susah mlh mikrn prng kejauhan mainnya. Kandang sndri ja msh smrawut","",""
"108","Negatif","Banyak drama nya bang","",""
"109","Positif","Sesuai kondisi lah nanti udah dikirim rudal langsung bilang gmna pertahanan Indonesia lu kira perang nunggu kita selesaikan masalah dalam negri?","",""
"110","Negatif","Korupsi sudah mulai diberantas, sudah mulai berbenah juga karna sulit untuk betul-betul bersih dari korupsi, sejak zaman VOC korupsi sudah turun temurun jadi percayakan saja sama pemerintah yang sekarang beri mereka kesempatan ","",""
"111","Positif","heleh, prajurit masih kelas anak2 lg karnaval aja sok sokan mau ikut perang.. yg ada rakyat jd korban dluan sblm ngelawan..","",""
"112","Positif","different cake itu antara hidup dan mati. Kalo lu hidup di jaman dulu pas perjuangan kemerdekaan pasti lu bilang mana mungkin Indonesia merdeka kita ga punya senjata sampe dsini paham bro?","",""
"113","Positif","BETUL ","",""
"114","Positif","Nah betul","",""
"115","Positif","Benerr","",""
"116","Negatif","Asli ..wkwkkwk","",""
"117","Positif","untung presidednnya prabowo, kalau abah pasti bahasnya bencana alam doang muter²","",""
"118","Negatif","kaya gmn coba jlskan ?","",""
"119","Positif","Aduh mumet punya presiden kaya gini","",""
"120","Positif","kan awalnya gemoy","",""
"121","Negatif","mumet kenapa?","",""
"122","Negatif","""Lebih baik perang daripada dijajah kembali"" what the hell, dijajah sama bangsa sendiri gak selesai² tuh hadeh","",""
"123","Negatif","bro berpikir Prabowo harus bilang kami di jajah sama bangsa sendiri di depan para pemimpin dunia","",""
"124","Negatif","gk ada yang baik bg, perang jauh lebih buruk jadi jangan bilang lebih baik perang","",""
"125","Negatif","mending lu aja yg jadi presiden mbak","",""
"126","Positif","Memberantas kkb aja ga sanggup g mana mau perang lawan negara lain","",""
"127","Negatif","bukan ga sanggup..tapi kkb berlindung di bawah ham..dkit2 teriak ham..kena dkit ham disebut..jadi gimana para militer mau basmi?.","",""
"128","Positif","tunggu KKB punya rudal dulu supaya bisa gunain ke gedung dpr. Kan enak DPR ilang kita bisa bebas serang KKB tanpa Lindungan HAM","",""
"129","Negatif","KKB di serang, maka datang lah australia berlagak sebagai penengah... liat aja timtim duluu..","",""
"130","Positif","kejauhannnn!!!!!! Basmi jukir liar aj menciut kaga berani","",""
"131","Positif","KKB di beking negara-negara luar dan ham,TNI mau bantai mereka dalam semalem juga bisa tapi nanti imbasnya ke negara kita","",""
"132","Positif","Ni mah psti bda, bang. Gag bkal ad lgi koar2 HAM ending ny ntar,,","",""
"133","Positif","Kalo ini mah setuju wkw","",""
"134","Negatif","aw tertampar fakta","",""
"135","Negatif","nyari harun masiku aja gk ktemu2, wkwk","",""
"136","Positif","bukan ga bisa sih, bnyak pro kontra, tp kalau pribadi maunya sih Ratakan aja heheh","",""
"137","Positif","KKB Papua ini kalo diberantas yang paling speak up Australia, kalo PBB udah campur tangan, kemungkinan lepas dari Indo besar banget,","",""
"138","Negatif","bener bgt","",""
"139","Positif","gimana mau ngebantai dikit dikit teriak ham,","",""
"140","Positif","abis di bantai. Muncul issue HAM. Australia naik ke permukaan. Papua merdeka. Baru abis itu caplok sama Abdacom.","",""
"141","Positif","perang sama pemerintah gitu pak?","",""
"142","Negatif","kelaszzz mas barney","",""
"143","Negatif","Dijajah negara sendiri ya","",""
"144","Positif","Negara sendiri alias korupsi/koruptor","",""
"145","Negatif","Kalo mba nya yg jajah aku ikhlas","",""
"146","Positif","Wong mau bantu Palestina sama iran, komen gk jelas lu gk sesuai sama konten","",""
"147","Positif","love u too KA..","",""
"148","Negatif","iya lagi iya lagi","",""
"149","Negatif","Iya bener dan Org2 kya lo itu penjajah nya","",""
"150","Negatif","Kan sekarang kita lagi dijajah sama para pejabat","",""
"151","Negatif","penjabat korupsi/koruptor","",""
"152","Negatif","geruduk lah. Demolah datangi pejabatnya. Ah lemah nih netijen","",""
"153","Positif","ngiggo or hoax nih","",""
"154","Positif","ihhh bukan sekarang bang,dari dulu cuma dulu belum era digital jadi gak keliatan","",""
"155","Positif","lagi bantu iran, sama palestina bang, gk ada urusannya sama pemerintah","",""
"156","Negatif","faktos","",""
"157","Positif","penjahat bang. Kalo pejabat pasti mikirin rakyat","",""
"158","Negatif","namanya juga kata pepatah semut di seberang laut keliatan..gajah di pelupuk mata tidak keliatan..yg penting omon-omon aja dulu ","",""
"159","Positif","dan rakyat nya mem bacot doang di sosmed tampa ada petempuran berdarah .","",""
"160","Negatif","wow ini kesatria","",""
"161","Negatif","Sudah lama kami dijajah oleh pemerintah dan penguasa","",""
"162","Negatif","ya lawan dong kan demo menyampaikan aspirasi jg boleh kalau ngebacot di sosmed doang ya anyep","",""
"163","Positif","Iya entar ujung nya hilang tanpa jasad","",""
"164","Negatif","Wkwkwwk lucu .","",""
"165","Negatif","DI BANDUNG AJA PENUH WARGA CHINA KETURUNAN PENGUASA MEREKA","",""
"166","Negatif","Mati jangan ajak2 , mau mati ya mati aja sendirian.. Dah gak usah ikut campur selagi gak di serang duluan. Benahin dulu program2 mu","",""
"167","Negatif","ahya progam masih keteteran mau perang ..emang konyol nih orang","",""
"168","Positif","tidak ada yg menginginkan perang itu kata pak prabowo paham,jika kita dijajah atau diserang kita lawan paham ?.","",""
"169","Positif","itu yg hanya apa yg saya paham aja kita kutipan berita ini","",""
"170","Negatif","kalau rakyatnya dijajah pejabatnya sendiri boleh kan kita lawan ,paham . Program dia banyak yang mematikan rakyatnya ibarat kata malah mikir perang","",""
"171","Negatif","Siapa yg ngajak lu njerr, lu guna aja kagak!! Ini perang cuman buat orng² yg punya jiwa nasionalisme bukan jiwa boty kaya kau kocakk emng mahluk jenis satu ini","",""
"172","Negatif","Siapa juga yang nyuruh lu ngajak gw dan siapa juga yg mo ikut , ya sudah lu sama keluarga lu sana perang","",""
"173","Negatif","Belajar baca yg bener dulu bang sebelum komen, jgn malu2in","",""
"174","Positif","scrol gsmbar kedua","",""
"175","Negatif","Mau perang? Disuruh wajib militer aja banyak yang komplen.. pejabat aja dulu suruh maju bila Indonesia ikut perang. Jangan warga lagi yg di korbanin","",""
"176","Negatif","lu kira kalau perang milih milih? Udah kek warteq aja","",""
"177","Positif","kan ada ormas yg udah latihan militer","",""
"178","Negatif","hehehe... Klo yg punya uang tinggal cari t4 berlindung.. Klo yg tdk punya uang, siap badan saja","",""
"179","Negatif","Mimpi basah author","",""
"180","Positif","Monggo disruput berita nya, karena pengertian yang kita tangkap akan berbeda.","",""
"181","Negatif","bukannya beda ya bang,kalok tiba tiba indo di serang masak iya mo bilang bentar urusan inter bangsaku belum selesai nanti aja kalok udah siap ku kabarin lagi","",""
"182","Positif","jangan pake mohon maaf bro.","",""
"183","Negatif","lah kan lu dan temen2 lu yang jajah kita kocak","",""
"184","Negatif","Pak banyak orang yang kelaparan di Indonesia,,, dari pada ikut perang","",""
"185","Negatif","Sok2an ngatasi pengangguran aja belum bener, ngatasi tambang aja belum kelar mau main perang2an......kanoha yg jajah bukan asing tp pemerintah sendiri","",""
"186","Negatif","pengangguran tapi banyak acara ","",""
"187","Negatif","terlalu Asbun kak","",""
"188","Positif","Sangat tepat sekali ","",""
"189","Negatif","sm koruptor juga keok apalagi mw perang ..ngimpi kaliii ...","",""
"190","Negatif","perang melawan koruptor dan tambang asing berpuluh² tahun ga pernah menang pak. Maaf sekarang bukan era bambu runcing lg pak ...kasian amat","",""
"191","Positif","dicina,amerika,russia juga masih banyak homeless,pengangguran dan kemiskinan juga masih ada","",""
"192","Negatif","O ya...paling omon2 ja alias baccccccoooooot ja....","",""
"193","Negatif","masalah ny orang Indonesia ini pengangguran sm malas kerja beda tipis","",""
"194","Positif","kalau ngomong bener sekali mas ini","",""
"195","Negatif","pengangguran mulu yang di bahas, noh udh ada kerjaan malah sok”an moker, sok boikot, sok nutup paksa indomart","",""
"196","Negatif","DIJAJAH ORANG BENER LAH, YA BENER ORANG, ORANG SENDIRI","",""
"197","Negatif","Sudah tua kok masih main perang-perangan","",""
"198","Negatif","Ngomong perang tapi KKB ajh gk kelar2","",""
"199","Negatif","Apa gak sadar sih sekarang Indonesia yg njajah temen-temen dia sendiri, orang-orang terdekatnya","",""
"200","Positif","Stay Kalem aja Pak bawa damai saja,, ngopi² gitu... Soal nya belom nikah nihhh","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
